Date,Description,Card Member,Account #,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
05/27/2026,AplPay GRUBHUB*MAMANNEW YORK NY,JESUS CHAVEZ,-84002,31.16,'300467698117459107' AplPay GRUBHUB*MAMANNEW YORK NY,AplPay GRUBHUB*MAMANNEW YORK NY,NEW YORK,"NEW YORK
NY",10001,UNITED STATES,'300467698117459107',Restaurant-Restaurant
05/27/2026,NYU LANGONE MEDICAL CTR NY,DIODORO GUERRA,-81005,114.45,'372142063038998667' NYU LANGONE MEDICAL CTR NY,NYU LANGONE MEDICAL CTR NY,NEW YORK,"NEW YORK
NY",10001,UNITED STATES,'372142063038998667',Medical Services
05/27/2026,SISU CLINIC SOHO NEW YORK NY,DINORAH GUERRA,-82014,210.37,'390115255196864022' SISU CLINIC SOHO NEW YORK NY,SISU CLINIC SOHO NEW YORK NY,NEW YORK,"NEW YORK
NY",10001,UNITED STATES,'390115255196864022',Medical Services
05/27/2026,TARGET T-3281 KIPS BAY NEW YORK NY,DINORAH GUERRA,-82014,125.84,'328666113292597447' TARGET T-3281 KIPS BAY NEW YORK NY,TARGET T-3281 KIPS BAY NEW YORK NY,NEW YORK,"NEW YORK
NY",10001,UNITED STATES,'328666113292597447',Merchandise & Supplies-General Retail
05/27/2026,GRUBHUB*WHITEMAIZE NEW YORK NY,JESUS CHAVEZ,-84002,40.71,'386317010017155793' GRUBHUB*WHITEMAIZE NEW YORK NY,GRUBHUB*WHITEMAIZE NEW YORK NY,NEW YORK,"NEW YORK
NY",10001,UNITED STATES,'386317010017155793',Restaurant-Restaurant
05/28/2026,ALICE + OLIVIA MADISON AVE NY,DINORAH GUERRA,-82014,300.84,'334508714924392191' ALICE + OLIVIA MADISON AVE NY,ALICE + OLIVIA MADISON AVE NY,NEW YORK,"NEW YORK
NY",10001,UNITED STATES,'334508714924392191',Merchandise & Supplies-Clothing
05/28/2026,AplPay NIKE FLATIRON NEW YORK NY,JESUS CHAVEZ,-84002,99.93,'311350090801956726' AplPay NIKE FLATIRON NEW YORK NY,AplPay NIKE FLATIRON NEW YORK NY,NEW YORK,"NEW YORK
NY",10001,UNITED STATES,'311350090801956726',Merchandise & Supplies-Clothing
05/28/2026,VUORI SOHO NEW YORK NY,DINORAH GUERRA,-82014,137.44,'318503157737969488' VUORI SOHO NEW YORK NY,VUORI SOHO NEW YORK NY,NEW YORK,"NEW YORK
NY",10001,UNITED STATES,'318503157737969488',Merchandise & Supplies-Clothing
05/28/2026,AplPay UBER *TRIP CA,DINORAH GUERRA,-82014,46.78,'338198683925594795' AplPay UBER *TRIP CA,AplPay UBER *TRIP CA,NEW YORK,"NEW YORK
NY",10001,UNITED STATES,'338198683925594795',Travel-Taxis & Coach
05/28/2026,JIMMY FAIRLY NOLITA NY,DINORAH GUERRA,-82014,219.67,'330523340282166464' JIMMY FAIRLY NOLITA NY,JIMMY FAIRLY NOLITA NY,NEW YORK,"NEW YORK
NY",10001,UNITED STATES,'330523340282166464',Merchandise & Supplies-Clothing
05/29/2026,SISU CLINIC SOHO NEW YORK NY,DINORAH GUERRA,-82014,304.09,'344923054580814566' SISU CLINIC SOHO NEW YORK NY,SISU CLINIC SOHO NEW YORK NY,NEW YORK,"NEW YORK
NY",10001,UNITED STATES,'344923054580814566',Medical Services
