Date,Description,Card Member,Account #,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
07/01/2026,QUICKDELIVER FOOD SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,92.86,,QUICKDELIVER FOOD SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF12870,Dining & Food Delivery
07/05/2026,HORIZON AIR LINES SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,526.14,,HORIZON AIR LINES SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF14203,Travel & Transit
07/19/2026,QUICKDELIVER FOOD SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,59.3,,QUICKDELIVER FOOD SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF43049,Dining & Food Delivery
07/07/2026,STARLIGHT COFFEE CO SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,9.2,,STARLIGHT COFFEE CO SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF16449,Dining & Food Delivery
07/18/2026,URBAN GOURMET BISTRO SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,35.88,,URBAN GOURMET BISTRO SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF74314,Dining & Food Delivery
07/08/2026,QUICKDELIVER FOOD SAN FRANCISCO CA,Jordan Taylor,XXXX-XXXXXX-20002,62.17,,QUICKDELIVER FOOD SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF33921,Dining & Food Delivery
07/25/2026,METRO NYC TRANSIT SAN FRANCISCO CA,Alex Morgan,XXXX-XXXXXX-10001,23.24,,METRO NYC TRANSIT SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF98844,Travel & Transit
07/11/2026,CITY CENTER PHARMACY SAN FRANCISCO CA,Jordan Taylor,XXXX-XXXXXX-20002,44.18,,CITY CENTER PHARMACY SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF32017,Health & Fitness
07/04/2026,HORIZON AIR LINES SAN FRANCISCO CA,Jordan Taylor,XXXX-XXXXXX-20002,223.59,,HORIZON AIR LINES SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF99785,Travel & Transit
07/12/2026,GREENMARKET GROCERY SAN FRANCISCO CA,Jordan Taylor,XXXX-XXXXXX-20002,162.73,,GREENMARKET GROCERY SAN FRANCISCO CA,,SAN FRANCISCO CA,,UNITED STATES,REF30018,Groceries & Household
