Date,Description,Card Member,Account #,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
05/27/2026,GRUBHUB*MAMAN RESTAURANT NY,ALEXANDER WRIGHT,-10041,40.72,'314771112953602217' GRUBHUB*MAMAN RESTAURANT NY,GRUBHUB*MAMAN RESTAURANT NY,NEW YORK,NEW YORK,10012,UNITED STATES,314771112953602217,Food & Dining
05/27/2026,GOOGLE CLOUD PLATFORM MOUNTAIN VIEW CA,ALEXANDER WRIGHT,-10041,133.71,'333529968805324939' GOOGLE CLOUD PLATFORM MOUNTAIN VIEW CA,GOOGLE CLOUD PLATFORM MOUNTAIN VIEW CA,NEW YORK,NEW YORK,10012,UNITED STATES,333529968805324939,Entertainment & Tech
05/27/2026,AMAZON WEB SERVICES AWS.AMAZON.COM WA,DAVID ROSS,-77290,370.11,'300936572892116811' AMAZON WEB SERVICES AWS.AMAZON.COM WA,AMAZON WEB SERVICES AWS.AMAZON.COM WA,NEW YORK,NEW YORK,10012,UNITED STATES,300936572892116811,Entertainment & Tech
05/27/2026,UNITED AIRLINES CHICAGO IL,SOPHIA MARTINEZ,-33118,381.73,'314730051348795257' UNITED AIRLINES CHICAGO IL,UNITED AIRLINES CHICAGO IL,NEW YORK,NEW YORK,10012,UNITED STATES,314730051348795257,Travel & Transportation
05/27/2026,DOORDASH*DELIVERY SAN FRANCISCO CA,MARCUS CHEN,-49920,80.16,'317989343973359237' DOORDASH*DELIVERY SAN FRANCISCO CA,DOORDASH*DELIVERY SAN FRANCISCO CA,NEW YORK,NEW YORK,10012,UNITED STATES,317989343973359237,Food & Dining
05/28/2026,THE RITZ-CARLTON NOMAD NY,DAVID ROSS,-77290,899.11,'395298087475160473' THE RITZ-CARLTON NOMAD NY,THE RITZ-CARLTON NOMAD NY,NEW YORK,NEW YORK,10012,UNITED STATES,395298087475160473,Travel & Transportation
05/28/2026,LOS TACOS NO. 1 CHELSEA NY,ALEXANDER WRIGHT,-10041,38.35,'391611783220081299' LOS TACOS NO. 1 CHELSEA NY,LOS TACOS NO. 1 CHELSEA NY,NEW YORK,NEW YORK,10012,UNITED STATES,391611783220081299,Food & Dining
05/28/2026,BLUESTONE LANE NEW YORK NY,MARCUS CHEN,-49920,30.25,'393391743210027736' BLUESTONE LANE NEW YORK NY,BLUESTONE LANE NEW YORK NY,NEW YORK,NEW YORK,10012,UNITED STATES,393391743210027736,Food & Dining
05/28/2026,TACOMBI FLATIRON NEW YORK NY,DAVID ROSS,-77290,62.74,'392233687921749922' TACOMBI FLATIRON NEW YORK NY,TACOMBI FLATIRON NEW YORK NY,NEW YORK,NEW YORK,10012,UNITED STATES,392233687921749922,Food & Dining
05/28/2026,SAKS FIFTH AVENUE NEW YORK NY,MARCUS CHEN,-49920,751.99,'345461575155809102' SAKS FIFTH AVENUE NEW YORK NY,SAKS FIFTH AVENUE NEW YORK NY,NEW YORK,NEW YORK,10012,UNITED STATES,345461575155809102,Shopping
05/28/2026,DELTA AIR LINES ATLANTA GA,DAVID ROSS,-77290,732.93,'392644720540371557' DELTA AIR LINES ATLANTA GA,DELTA AIR LINES ATLANTA GA,NEW YORK,NEW YORK,10012,UNITED STATES,392644720540371557,Travel & Transportation
05/28/2026,STAPLES SOHO NEW YORK NY,ELENA VANCE,-82014,80.47,'361743820997881209' STAPLES SOHO NEW YORK NY,STAPLES SOHO NEW YORK NY,NEW YORK,NEW YORK,10012,UNITED STATES,361743820997881209,Business & Services
05/29/2026,MCKINSEY & COMPANY NEW YORK NY,ELENA VANCE,-82014,590.91,'322026753133377333' MCKINSEY & COMPANY NEW YORK NY,MCKINSEY & COMPANY NEW YORK NY,NEW YORK,NEW YORK,10012,UNITED STATES,322026753133377333,Business & Services
05/29/2026,BALA BANGLES SOHO NY,SOPHIA MARTINEZ,-33118,87.44,'367453101317148569' BALA BANGLES SOHO NY,BALA BANGLES SOHO NY,NEW YORK,NEW YORK,10012,UNITED STATES,367453101317148569,Shopping
05/29/2026,JIMMY FAIRLY NOLITA NY,ALEXANDER WRIGHT,-10041,282.23,'316076360402713967' JIMMY FAIRLY NOLITA NY,JIMMY FAIRLY NOLITA NY,NEW YORK,NEW YORK,10012,UNITED STATES,316076360402713967,Shopping
05/29/2026,GRUBHUB*MAMAN RESTAURANT NY,ALEXANDER WRIGHT,-10041,56.94,'343010427958045806' GRUBHUB*MAMAN RESTAURANT NY,GRUBHUB*MAMAN RESTAURANT NY,NEW YORK,NEW YORK,10012,UNITED STATES,343010427958045806,Food & Dining
05/29/2026,TARGET T-3281 KIPS BAY NEW YORK NY,ELENA VANCE,-82014,197.25,'386317010017155793' TARGET T-3281 KIPS BAY NEW YORK NY,TARGET T-3281 KIPS BAY NEW YORK NY,NEW YORK,NEW YORK,10012,UNITED STATES,386317010017155793,Shopping
05/29/2026,LOS TACOS NO. 1 CHELSEA NY,MARCUS CHEN,-49920,32.36,'312343959685262343' LOS TACOS NO. 1 CHELSEA NY,LOS TACOS NO. 1 CHELSEA NY,NEW YORK,NEW YORK,10012,UNITED STATES,312343959685262343,Food & Dining
05/30/2026,SPOTIFY USA NEW YORK NY,ELENA VANCE,-82014,16.99,'387419398722667930' SPOTIFY USA NEW YORK NY,SPOTIFY USA NEW YORK NY,NEW YORK,NEW YORK,10012,UNITED STATES,387419398722667930,Entertainment & Tech
05/30/2026,BLUESTONE LANE NEW YORK NY,DAVID ROSS,-77290,22.37,'393657300986998073' BLUESTONE LANE NEW YORK NY,BLUESTONE LANE NEW YORK NY,NEW YORK,NEW YORK,10012,UNITED STATES,393657300986998073,Food & Dining
05/30/2026,SISU CLINIC SOHO NEW YORK NY,SOPHIA MARTINEZ,-33118,270.67,'303031355009844891' SISU CLINIC SOHO NEW YORK NY,SISU CLINIC SOHO NEW YORK NY,NEW YORK,NEW YORK,10012,UNITED STATES,303031355009844891,Shopping
05/30/2026,ARITZIA SOHO NEW YORK NY,ELENA VANCE,-82014,349.88,'332993986265373152' ARITZIA SOHO NEW YORK NY,ARITZIA SOHO NEW YORK NY,NEW YORK,NEW YORK,10012,UNITED STATES,332993986265373152,Shopping
05/30/2026,SWEETGREEN SOHO NEW YORK NY,DAVID ROSS,-77290,34.06,'377711799144167738' SWEETGREEN SOHO NEW YORK NY,SWEETGREEN SOHO NEW YORK NY,NEW YORK,NEW YORK,10012,UNITED STATES,377711799144167738,Food & Dining
05/30/2026,SPOTIFY USA NEW YORK NY,DAVID ROSS,-77290,16.99,'358663522950193053' SPOTIFY USA NEW YORK NY,SPOTIFY USA NEW YORK NY,NEW YORK,NEW YORK,10012,UNITED STATES,358663522950193053,Entertainment & Tech
05/31/2026,ANTHROPIC *CLAUDE SAN FRANCISCO CA,MARCUS CHEN,-49920,80.71,'307806892170852122' ANTHROPIC *CLAUDE SAN FRANCISCO CA,ANTHROPIC *CLAUDE SAN FRANCISCO CA,NEW YORK,NEW YORK,10012,UNITED STATES,307806892170852122,Entertainment & Tech
05/31/2026,TORY BURCH SOHO NY,ALEXANDER WRIGHT,-10041,519.44,'335835154592763431' TORY BURCH SOHO NY,TORY BURCH SOHO NY,NEW YORK,NEW YORK,10012,UNITED STATES,335835154592763431,Shopping
05/31/2026,AMAZON WEB SERVICES AWS.AMAZON.COM WA,ELENA VANCE,-82014,286.49,'310864110855725692' AMAZON WEB SERVICES AWS.AMAZON.COM WA,AMAZON WEB SERVICES AWS.AMAZON.COM WA,NEW YORK,NEW YORK,10012,UNITED STATES,310864110855725692,Entertainment & Tech
05/31/2026,SEPHORA #412 SOHO NEW YORK NY,DAVID ROSS,-77290,251.3,'323967954341420480' SEPHORA #412 SOHO NEW YORK NY,SEPHORA #412 SOHO NEW YORK NY,NEW YORK,NEW YORK,10012,UNITED STATES,323967954341420480,Shopping
05/31/2026,SAKS FIFTH AVENUE NEW YORK NY,SOPHIA MARTINEZ,-33118,508.44,'356265707897041736' SAKS FIFTH AVENUE NEW YORK NY,SAKS FIFTH AVENUE NEW YORK NY,NEW YORK,NEW YORK,10012,UNITED STATES,356265707897041736,Shopping
05/31/2026,TRADER JOE'S #544 CHELSEA NY,SOPHIA MARTINEZ,-33118,139.04,'380094658034295182' TRADER JOE'S #544 CHELSEA NY,TRADER JOE'S #544 CHELSEA NY,NEW YORK,NEW YORK,10012,UNITED STATES,380094658034295182,Food & Dining
05/31/2026,WHOLE FOODS MARKET UNION SQ NY,ELENA VANCE,-82014,253.9,'308784911256079888' WHOLE FOODS MARKET UNION SQ NY,WHOLE FOODS MARKET UNION SQ NY,NEW YORK,NEW YORK,10012,UNITED STATES,308784911256079888,Food & Dining
05/31/2026,SPOTIFY USA NEW YORK NY,DAVID ROSS,-77290,16.99,'311545277999680610' SPOTIFY USA NEW YORK NY,SPOTIFY USA NEW YORK NY,NEW YORK,NEW YORK,10012,UNITED STATES,311545277999680610,Entertainment & Tech
